policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,17,0.1395508050918579,0.1395505074667045,0.20292612952081351,0.12453975528478622,0.008537670597434044,0.0037499447353184223
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,18,0.32730352878570557,0.32730276475003794,0.19682829098907817,0.17374618351459503,0.00899903941899538,0.010545033030211926
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,19,0.29131531715393066,0.29131526723027923,0.13735417736002678,0.07094711810350418,0.0069141690619289875,4.511289080255665e-05
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,0,0.14349687099456787,0.14349822997419714,0.1647448938210123,0.09941601753234863,0.11262299120426178,0.003309529507532716
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,1,0.5934445858001709,0.5934436786628812,0.15584834530568337,0.10128340870141983,0.09339894354343414,0.0005000101518817246
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,2,0.3877004384994507,0.3876991477277554,0.13806601123635237,0.08214092254638672,0.09581369906663895,0.0
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,3,0.16680705547332764,0.16680684116782474,0.17653233235272722,0.16952064633369446,0.11326321959495544,7.860856567276642e-05
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,4,0.14807283878326416,0.14807352980990407,0.1907115729221582,0.193991020321846,0.12460261583328247,7.497247861465439e-05
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,5,0.4657316207885742,0.46573198565319585,0.16667335628732263,0.12808959186077118,0.11004506796598434,0.0003753571363631636
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,6,0.40819287300109863,0.4081941121191106,0.18028045971336398,0.06688829511404037,0.11912161856889725,7.652732165297493e-05
