policy,training_seed,branch_index,run_dir,checkpoint,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_effective_drawdown_budget_squared,average_allocation_constraint_raw_cost,average_concentration,maximum_single_asset_weight
Q80 lambda-up 0.00025,3,11,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.23178434371948242,0.2317841828152596,0.1569865580345725,0.08735299110412598,0.11549438536167145,0.00023958570091053843,0.002779184840619564,0.0,0.2291141003370285,0.4139178991317749
Q80 lambda-up 0.00025,3,12,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,-0.04815685749053955,-0.04815638197840055,0.1750602608426803,0.1607360690832138,0.12517394125461578,8.432207687292248e-05,0.015356640331447124,0.0,0.23181933164596558,0.41125208139419556
Q80 lambda-up 0.00025,3,13,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.7841576337814331,0.7841569046701122,0.17007856209854152,0.052856896072626114,0.1344364881515503,0.0,0.002502048620954156,0.0,0.23213566839694977,0.40631285309791565
Q80 lambda-up 0.00025,3,14,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,-0.10298532247543335,-0.1029855570754572,0.12179174102507682,0.21780595183372498,0.10103168338537216,0.0015445125754922628,0.010054280050098896,0.0,0.22911541163921356,0.41742274165153503
Q80 lambda-up 0.00025,3,15,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.10194575786590576,0.10194579300000761,0.18074910684399548,0.14185510575771332,0.11590234935283661,0.005571179557591677,0.003430451499298215,0.0,0.23233665525913239,0.4151085615158081
Q80 lambda-up 0.00025,3,16,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.19264531135559082,0.19264687148369353,0.1449082682141446,0.12185768038034439,0.10209853947162628,0.00013813491386827081,0.003415570594370365,0.0,0.2305709570646286,0.4103699028491974
Q80 lambda-up 0.00025,3,17,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,-0.06367743015289307,-0.06367745146914039,0.19294299500867423,0.21693727374076843,0.13525807857513428,0.0003769051982089877,0.010684567503631115,0.0,0.23387201130390167,0.4188343584537506
Q80 lambda-up 0.00025,3,18,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.16917765140533447,0.16917813252882796,0.10261399197657761,0.08998651802539825,0.07108073681592941,0.002299197483807802,0.002511092694476247,0.0,0.22741657495498657,0.3794044554233551
Q80 lambda-up 0.00025,3,19,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.0776289701461792,0.07762739408155217,0.192991206570332,0.2045990526676178,0.13514626026153564,0.0005307686515152454,0.010457286611199379,0.0,0.23279932141304016,0.4337815046310425
Q80 lambda-up 0.00040,3,0,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.2630263566970825,0.26302802641635825,0.1390865114678729,0.06819403171539307,0.09102927148342133,5.8327525039203465e-05,0.0025210196617990732,0.0,0.22332395613193512,0.3880065679550171
Q80 lambda-up 0.00040,3,1,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,-0.04995536804199219,-0.04995553803518804,0.1602763872658536,0.16854214668273926,0.10817164927721024,0.00038856646278873086,0.015391984954476357,0.0,0.2236730307340622,0.3907410800457001
Q80 lambda-up 0.00040,3,2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.23516631126403809,0.23516661742064104,0.14305335757833024,0.09468834102153778,0.08847974985837936,0.00043724471470341086,0.002944039413705468,0.0,0.2234049290418625,0.4082915484905243
